StandortName;ProduzentName;ProduktBezeichnung;Datum;GelieferteMenge;VerkaufteMenge;Umsatz;EinkaufsMenge;EinkaufsBetrag
Kiosk Langendorf;;Kartoffeln;2026-08-05;21.8;19.9;27.86;;
Kiosk Moehlin;;Tomaten;2026-08-06;11.6;7.9;23.7;;
;Biohof Pfister;Broccoli;2026-08-06;;;;50.5;95.95
Kiosk Zuchwil;;Karotten;2026-08-04;14.2;9.5;17.1;;
Kiosk Meiringen;;Kartoffeln;2026-08-05;19.2;16.7;23.38;;
Kiosk Thalwil;;Gurken;2026-08-07;13.1;8.5;21.25;;
Kiosk Zuchwil;;Broccoli;2026-08-08;20.8;16.9;50.7;;
Kiosk Muri bei Bern;;Kopfsalat;2026-08-07;20.3;12.1;18.15;;
Kiosk Balsthal;;Broccoli;2026-08-07;9.0;7.6;22.8;;
Kiosk Root;;Randen;2026-08-08;15.3;12.7;22.86;;
Kiosk Dulliken;;Broccoli;2026-08-06;29.9;25.4;76.2;;
Kiosk Thun;;Gurken;2026-08-08;27.5;19.1;47.75;;
Kiosk Frutigen;;Zucchetti;2026-08-06;21.7;17.7;30.09;;
Kiosk Lenzburg;;Kartoffeln;2026-08-06;16.0;14.9;20.86;;
Kiosk Rueti;;Peperoni;2026-08-08;26.7;17.7;70.8;;
Kiosk Wetzikon;;Kopfsalat;2026-08-04;15.7;12.1;18.15;;
Kiosk Langenthal;;Kartoffeln;2026-08-06;16.8;9.7;13.58;;
Kiosk Horw;;Zwiebeln;2026-08-07;26.8;25.0;45.0;;
;Gemuesegarten Ryser;Gurken;2026-08-06;;;;69.3;110.88
Kiosk Muri bei Bern;;Gurken;2026-08-04;15.3;9.2;23.0;;
Kiosk Solothurn;;Randen;2026-08-07;15.3;12.5;22.5;;
Kiosk Kloten;;Randen;2026-08-07;26.3;24.1;43.38;;
Kiosk Wohlen;;Tomaten;2026-08-07;8.8;5.5;16.5;;
Kiosk Burgdorf;;Tomaten;2026-08-05;11.6;8.1;24.3;;
Kiosk Zuerich Altstetten;;Karotten;2026-08-08;12.6;8.0;14.4;;
Kiosk Konolfingen;;Kartoffeln;2026-08-07;12.9;11.3;15.82;;
Kiosk Langendorf;;Kopfsalat;2026-08-05;10.9;8.3;12.45;;
Kiosk Lenzburg;;Tomaten;2026-08-04;11.1;8.8;26.4;;
Kiosk Interlaken;;Kopfsalat;2026-08-04;23.0;17.6;26.4;;
Kiosk Aarau;;Kopfsalat;2026-08-05;17.2;14.9;22.35;;
Kiosk Kriens;;Broccoli;2026-08-07;27.7;23.5;70.5;;
Kiosk Wetzikon;;Tomaten;2026-08-07;26.6;25.0;75.0;;
Kiosk Wetzikon;;Peperoni;2026-08-08;21.5;17.4;69.6;;
Kiosk Illnau-Effretikon;;Karotten;2026-08-05;23.6;22.3;40.14;;
Kiosk Willisau;;Peperoni;2026-08-04;25.2;20.4;81.6;;
;Gemuesegarten Ryser;Zucchetti;2026-08-08;;;;116.5;128.15
Kiosk Waedenswil;;Tomaten;2026-08-06;12.7;9.6;28.8;;
Kiosk Burgdorf;;Zucchetti;2026-08-06;23.4;19.3;32.81;;
Kiosk Regensdorf;;Zucchetti;2026-08-05;13.2;8.0;13.6;;
Kiosk Thalwil;;Karotten;2026-08-05;29.3;23.3;41.94;;
Kiosk Aarau;;Kartoffeln;2026-08-07;21.1;11.7;16.38;;
Kiosk Root;;Zucchetti;2026-08-04;10.0;6.4;10.88;;
Kiosk Buelach;;Tomaten;2026-08-06;8.1;7.3;21.9;;
Kiosk Balsthal;;Peperoni;2026-08-05;20.6;13.3;53.2;;
Kiosk Koeniz;;Randen;2026-08-06;28.4;24.5;44.1;;
Kiosk Adliswil;;Karotten;2026-08-08;16.0;11.1;19.98;;
Kiosk Schuepfheim;;Kopfsalat;2026-08-04;13.6;12.2;18.3;;
Kiosk Adligenswil;;Broccoli;2026-08-08;19.9;14.4;43.2;;
Kiosk Thun;;Tomaten;2026-08-07;9.7;6.5;19.5;;
Kiosk Langendorf;;Peperoni;2026-08-08;16.0;9.6;38.4;;
Kiosk Brugg;;Broccoli;2026-08-06;16.8;14.1;42.3;;
Kiosk Dietikon;;Karotten;2026-08-06;25.9;20.0;36.0;;
Kiosk Wallisellen;;Zwiebeln;2026-08-06;13.2;12.5;22.5;;
Kiosk Trimbach;;Gurken;2026-08-06;10.0;7.1;17.75;;
Kiosk Winterthur;;Peperoni;2026-08-08;15.1;9.4;37.6;;
;Biohof Pfister;Broccoli;2026-08-05;;;;84.9;161.31
Kiosk Zuerich Oerlikon;;Randen;2026-08-05;27.5;22.3;40.14;;
Kiosk Schuepfheim;;Zucchetti;2026-08-05;11.3;8.8;14.96;;
Kiosk Buelach;;Zwiebeln;2026-08-08;21.1;19.1;34.38;;
Kiosk Ebikon;;Zwiebeln;2026-08-05;18.7;12.9;23.22;;
Kiosk Baden;;Zucchetti;2026-08-04;15.9;9.2;15.64;;
Kiosk Kloten;;Tomaten;2026-08-06;10.5;5.9;17.7;;
;Gemuesegarten Ryser;Randen;2026-08-05;;;;43.9;52.68
Kiosk Belp;;Broccoli;2026-08-05;27.0;25.4;76.2;;
Kiosk Malters;;Zucchetti;2026-08-06;23.9;22.5;38.25;;
Kiosk Kloten;;Gurken;2026-08-04;27.0;21.1;52.75;;
Kiosk Schuepfheim;;Tomaten;2026-08-04;27.2;21.2;63.6;;
Kiosk Ittigen;;Peperoni;2026-08-06;10.5;6.2;24.8;;
Kiosk Zuerich Altstetten;;Gurken;2026-08-05;29.3;27.2;68.0;;
Kiosk Horgen;;Zucchetti;2026-08-04;8.2;7.0;11.9;;
Kiosk Muri bei Bern;;Zwiebeln;2026-08-06;11.6;8.4;15.12;;
Kiosk Oensingen;;Kopfsalat;2026-08-07;23.2;17.0;25.5;;
Kiosk Zuerich Altstetten;;Peperoni;2026-08-08;29.4;16.8;67.2;;
Kiosk Langendorf;;Broccoli;2026-08-04;14.8;10.7;32.1;;
Kiosk Brugg;;Peperoni;2026-08-05;21.5;12.6;50.4;;
Kiosk Schuepfheim;;Kartoffeln;2026-08-04;26.1;18.5;25.9;;
Kiosk Wallisellen;;Kopfsalat;2026-08-05;11.0;7.3;10.95;;
Kiosk Worb;;Broccoli;2026-08-08;23.5;18.7;56.1;;
Kiosk Langenthal;;Zwiebeln;2026-08-07;11.1;6.7;12.06;;
Kiosk Interlaken;;Kartoffeln;2026-08-07;21.1;14.9;20.86;;
Kiosk Langenthal;;Peperoni;2026-08-08;19.9;-4.0;67.6;;
Kiosk Zuerich Hauptbahnhof;;Randen;2026-08-04;28.8;19.3;34.74;;
Kiosk Grenchen;;Tomaten;2026-08-05;19.0;15.9;47.7;;
Kiosk Zuerich Oerlikon;;Kartoffeln;2026-08-07;21.5;19.9;27.86;;
Kiosk Waedenswil;;Zucchetti;2026-08-04;12.9;12.2;20.74;;
Kiosk Meiringen;;Karotten;2026-08-08;26.3;17.7;31.86;;
Kiosk Ittigen;;Gurken;2026-08-05;23.8;15.0;37.5;;
Kiosk Rheinfelden;;Randen;2026-08-07;27.6;23.4;42.12;;
Kiosk Adligenswil;;Kartoffeln;2026-08-06;23.4;21.7;30.38;;
Kiosk Dietikon;;Zwiebeln;2026-08-06;29.0;23.9;43.02;;
Kiosk Reiden;;Gurken;2026-08-08;25.4;16.3;40.75;;
Kiosk Wettingen;;Randen;2026-08-07;29.9;26.1;46.98;;
Kiosk Solothurn;;Broccoli;2026-08-05;18.4;14.9;44.7;;
Kiosk Olten;;Karotten;2026-08-04;12.5;9.6;17.28;;
Kiosk Biel/Bienne;;Tomaten;2026-08-04;13.5;8.5;25.5;;
Kiosk Zollikofen;;Tomaten;2026-08-06;13.3;9.4;28.2;;
Kiosk Steffisburg;;Gurken;2026-08-08;11.5;10.7;26.75;;
Kiosk Horgen;;Gurken;2026-08-05;19.0;16.8;42.0;;
Kiosk Adliswil;;Zwiebeln;2026-08-04;19.2;14.7;26.46;;
Kiosk Regensdorf;;Broccoli;2026-08-06;25.1;14.6;43.8;;
Kiosk Oftringen;;Zucchetti;2026-08-08;11.4;9.3;15.81;;
Kiosk Sempach;;Peperoni;2026-08-04;21.0;18.5;74.0;;
Kiosk Duebendorf;;Kartoffeln;2026-08-06;18.0;14.3;20.02;;
Kiosk Zofingen;;Karotten;2026-08-06;17.8;14.9;26.82;;
